model_id;(Intercept);count_TRUE;counting_method;counting_time_1m;counting_time_cells;exp_bota;habitat_closure;quadrat_order;quadrat_order_squared;species_conspicuousness;count_TRUE:counting_method;counting_method:exp_bota;counting_method:habitat_closure;counting_method:quadrat_order;counting_method:quadrat_order_squared;counting_method:species_conspicuousness;counting_time_1m:habitat_closure;counting_time_1m:species_conspicuousness;counting_time_cells:habitat_closure;counting_time_cells:species_conspicuousness;habitat_closure:species_conspicuousness;df;logLik;AICc;delta;weight
1005439;-0,726846432;-0,0046904;+;0,125007216;0,091737927;0,048969201;-0,525771313;0,004416581;NA;0,22637825;+;+;NA;+;NA;+;NA;0,02213011;-0,026658336;-0,001408382;0,139565659;25;-14457,0003;28964,30342;230,0989446;2.92207455525004e-51
1004927;-0,753486819;-0,004529976;+;0,126530973;0,092952559;0,049001306;-0,525897099;0,004426109;NA;0,230815807;NA;+;NA;+;NA;+;NA;0,022411574;-0,026887137;-0,001156974;0,139469833;23;-14459,18108;28964,6192;230,4147177;2.49529574314783e-51
759679;-0,749630401;-0,004602536;+;0,179011909;0,088585329;0,045119805;-0,49935216;0,004726695;NA;0,238095969;+;+;NA;+;NA;NA;-0,055654047;-0,000281395;-0,025169513;NA;0,138314442;23;-14459,26995;28964,79695;230,5924727;2.28308993960865e-51
693759;-0,743552821;-0,004527599;+;0,181467656;0,087082405;0,045188127;-0,501581151;-0,002977053;0,000701168;0,237935472;NA;+;NA;+;NA;NA;-0,056870085;NA;-0,024889292;NA;0,139299364;21;-14461,31285;28964,84074;230,6362593;2.23364875268306e-51
1005567;-0,707478061;-0,004690868;+;0,124732537;0,091776535;0,048979045;-0,52488942;-0,003121849;0,000685338;0,224580056;+;+;NA;+;NA;+;NA;0,022393051;-0,026658969;-0,001420811;0,139481758;26;-14456,43091;28965,18893;230,9844561;1.87674346360391e-51
1005055;-0,736159549;-0,004532766;+;0,126331419;0,092935636;0,049132051;-0,525516641;-0,003601049;0,000729324;0,230258314;NA;+;NA;+;NA;+;NA;0,022609044;-0,026887895;-0,001153481;0,139408132;24;-14458,53973;28965,35893;231,1544492;1.72381784753045e-51
759807;-0,735459557;-0,004601656;+;0,178933429;0,088588394;0,045350012;-0,500101306;-0,00285351;0,000689922;0,237952244;+;+;NA;+;NA;NA;-0,055666535;-0,000168568;-0,025168034;NA;0,13861954;24;-14458,70559;28965,69064;231,4861625;1.46036276899978e-51
702463;-0,726235004;-0,004602566;+;0,17909987;0,088700729;0,045349553;-0,50121283;-0,007352351;0,001100665;0,237686757;+;+;NA;+;+;NA;-0,055866625;NA;-0,025160424;NA;0,139086069;25;-14457,73159;28965,766;231,5615198;1.40636200057806e-51
759167;-0,761521518;-0,004522343;+;0,184121893;0,087128631;0,045081171;-0,501009729;0,004738602;NA;0,239238398;NA;+;NA;+;NA;NA;-0,055906974;-0,001911658;-0,024899461;NA;0,138900506;21;-14461,81112;28965,83727;231,6327961;1.3571244146865e-51
751615;-0,698827131;-0,004688075;+;0,122814677;0,089391054;0,049222144;-0,525008795;-0,010280292;0,001339814;0,2265059;+;+;NA;+;+;+;NA;0,023482122;-0,026940813;NA;0,139544595;27;-14455,91044;28966,17324;231,9687589;1.14727164157941e-51
751103;-0,722255714;-0,004536071;+;0,124692153;0,090988475;0,049191879;-0,525073513;-0,010479484;0,001356845;0,230260657;NA;+;NA;+;+;+;NA;0,023542035;-0,027114339;NA;0,139417344;25;-14457,94897;28966,20076;231,9962832;1.13159088559425e-51
701951;-0,73360661;-0,00452877;+;0,18184698;0,08725608;0,045186093;-0,501436867;-0,00718505;0,001085314;0,237304294;NA;+;NA;+;+;NA;-0,056968835;NA;-0,02489077;NA;0,139313265;23;-14460,20257;28966,66219;232,4577067;8.98447290155951e-52
759295;-0,746221311;-0,004525256;+;0,184038416;0,087109936;0,045190649;-0,50116927;-0,002894773;0,000694345;0,239208201;NA;+;NA;+;NA;NA;-0,055942579;-0,001790701;-0,024896567;NA;0,138945832;22;-14461,23438;28966,70433;232,4998551;8.79711352018672e-52
1013759;-0,699994048;-0,004689233;+;0,125065517;0,091909956;0,049113437;-0,525931593;-0,010186587;0,001331859;0,227190881;+;+;NA;+;+;+;NA;0,022374833;-0,026639844;-0,001439862;0,139558618;28;-14455,62455;28967,62765;233,4231671;5.54428496018145e-52
767999;-0,725467277;-0,004602184;+;0,179130773;0,088688933;0,045299632;-0,500931399;-0,007266598;0,001093425;0,23728397;+;+;NA;+;+;NA;-0,055841818;-5,21E-05;-0,025157777;NA;0,139006393;26;-14457,73163;28967,79038;233,5859047;5.11101930024671e-52
1013247;-0,721499526;-0,004534793;+;0,126374147;0,093066933;0,049189733;-0,526073794;-0,010419625;0,001351616;0,229515319;NA;+;NA;+;+;+;NA;0,02272042;-0,026877273;-0,001155832;0,139685628;26;-14457,75964;28967,8464;233,6419251;4.96984489348583e-52
767487;-0,736094058;-0,00452613;+;0,184191853;0,0872813;0,045215054;-0,5013202;-0,007171997;0,001084583;0,23837532;NA;+;NA;+;+;NA;-0,05612348;-0,001630117;-0,024898404;NA;0,139107574;24;-14460,13821;28968,55587;234,351394;3.48564879578015e-52
698367;-0,772484657;-0,004603327;+;0,178604571;0,0882099;0,044967823;-0,500310215;0,014574322;-0,000796117;0,23771374;+;+;NA;NA;+;NA;-0,055904398;NA;-0,025103167;NA;0,138709967;23;-14461,31637;28968,88977;234,685296;2.9496992342725e-52
697855;-0,781545054;-0,004524021;+;0,181357209;0,086809237;0,044884502;-0,501117801;0,01427741;-0,000772142;0,238132738;NA;+;NA;NA;+;NA;-0,05700151;NA;-0,024843945;NA;0,139090957;21;-14463,76291;28969,74085;235,5363717;1.92738732876212e-52
747519;-0,748536258;-0,004686504;+;0,122423276;0,0889203;0,048661771;-0,523959801;0,013665387;-0,000733838;0,226423959;+;+;NA;NA;+;+;NA;0,023442445;-0,026870518;NA;0,139071857;25;-14459,76137;28969,82557;235,6210901;1.84744973256383e-52
747007;-0,775346393;-0,004532199;+;0,124289029;0,090549951;0,048835167;-0,525021047;0,013561146;-0,0007232;0,230966937;NA;+;NA;NA;+;+;NA;0,023518558;-0,02705182;NA;0,139344495;23;-14461,87574;28970,00852;235,8040442;1.68594985477322e-52
986943;-0,635144187;-0,004728103;+;0,143027265;0,065972866;0,044361471;-0,497313939;NA;NA;0,201929302;+;+;+;NA;NA;NA;NA;0,016738937;-0,038271087;0,010740472;0,141212415;22;-14462,95595;28970,14746;235,9429814;1.57280475526666e-52
698303;-0,740978912;-0,004603216;+;0,178755492;0,088070514;0,045288289;-0,500692395;NA;0,000461276;0,237361822;+;+;NA;NA;+;NA;-0,055795931;NA;-0,025069082;NA;0,138857123;22;-14463,28635;28970,80826;236,6037827;1.13027376132873e-52
763903;-0,772949999;-0,00460369;+;0,178717468;0,088219287;0,044953463;-0,501598739;0,014514164;-0,000791477;0,23777442;+;+;NA;NA;+;NA;-0,055864144;-7,95E-05;-0,025104705;NA;0,139208693;24;-14461,31626;28970,91197;236,707493;1.07315694226242e-52
1009663;-0,747192525;-0,004690272;+;0,124456396;0,091407172;0,048661738;-0,525324406;0,013773435;-0,000740875;0,225516734;+;+;NA;NA;+;+;NA;0,022458929;-0,026573447;-0,001427564;0,139477611;26;-14459,47921;28971,28553;237,0810524;8.90319393577662e-53
747455;-0,716322071;-0,004688566;+;0,121887202;0,088780593;0,048927073;-0,523503362;NA;0,000446928;0,225156165;+;+;NA;NA;+;+;NA;0,023850164;-0,026840532;NA;0,139040186;24;-14461,51207;28971,3036;237,0991252;8.82310360074513e-53
746943;-0,74501714;-0,004535129;+;0,12371679;0,090420357;0,049042154;-0,52547145;NA;0,000447073;0,230412797;NA;+;NA;NA;+;+;NA;0,023925835;-0,02701922;NA;0,139521074;22;-14463,58425;28971,40406;237,199584;8.39087087563156e-53
697791;-0,74969307;-0,004525975;+;0,18143244;0,086668969;0,045114252;-0,501359838;NA;0,000459575;0,23759592;NA;+;NA;NA;+;NA;-0,056876486;NA;-0,024808446;NA;0,139196795;20;-14465,6583;28971,51203;237,3075533;7.94990253264518e-53
763391;-0,782612985;-0,004522993;+;0,183762539;0,086844045;0,044893266;-0,50110937;0,014314335;-0,000775168;0,238665321;NA;+;NA;NA;+;NA;-0,056153787;-0,00166002;-0,024853398;NA;0,138992525;22;-14463,69691;28971,6294;237,4249182;7.49680694544743e-53
1009151;-0,776558061;-0,00453008;+;0,125962678;0,092581877;0,048821694;-0,526824138;0,013602393;-0,000727569;0,231125615;NA;+;NA;NA;+;+;NA;0,022708893;-0,026818029;-0,001132205;0,139771582;24;-14461,69244;28971,66434;237,459861;7.36696488268382e-53
677759;-0,724460282;-0,004678774;+;0,161452626;0,089295058;0,049144696;-0,52419469;0,004482859;NA;0,224507915;+;+;NA;+;NA;+;NA;NA;-0,026782516;NA;0,139061609;23;-14462,91475;28972,08653;237,8820553;5.96499743910593e-53
939903;-0,726481386;-0,00467633;+;0,162199692;0,093732079;0,049254987;-0,52825842;0,004474071;NA;0,224685362;+;+;NA;+;NA;+;NA;NA;-0,026260407;-0,002545016;0,140184712;24;-14461,97347;28972,22641;238,0219292;5.56207767461966e-53
677247;-0,755261741;-0,004511938;+;0,163767318;0,090737793;0,049302855;-0,526306482;0,004469219;NA;0,230139507;NA;+;NA;+;NA;+;NA;NA;-0,026943627;NA;0,139606045;21;-14465,05528;28972,32558;238,1211061;5.29298971839432e-53
939391;-0,755365297;-0,004508964;+;0,164402501;0,094857151;0,049326518;-0,529184837;0,004466074;NA;0,229648095;NA;+;NA;+;NA;+;NA;NA;-0,026481425;-0,002291174;0,140349744;22;-14464,26933;28972,77423;238,569752;4.22940068639029e-53
1009599;-0,7171627;-0,004684849;+;0,123885524;0,091262481;0,04892141;-0,524990186;NA;0,000447523;0,225227412;+;+;NA;NA;+;+;NA;0,022892067;-0,026541546;-0,001419674;0,139437863;25;-14461,24082;28972,78446;238,5799786;4.20782966334757e-53
763839;-0,741278884;-0,004603342;+;0,178570757;0,088062704;0,045276424;-0,500211455;NA;0,000460647;0,237684143;+;+;NA;NA;+;NA;-0,055854624;9,89E-05;-0,025068436;NA;0,138646346;23;-14463,2861;28972,82925;238,6247741;4.11463127492503e-53
1009087;-0,745999314;-0,004532541;+;0,125364663;0,092397015;0,049034165;-0,526561331;NA;0,000446485;0,230601636;NA;+;NA;NA;+;+;NA;0,023124904;-0,026790143;-0,001103421;0,139731499;23;-14463,41005;28973,07713;238,8726549;3.63499898607524e-53
677887;-0,712061574;-0,004680266;+;0,16159734;0,089296284;0,049399688;-0,523609052;-0,002428758;0,00062793;0,224957026;+;+;NA;+;NA;+;NA;NA;-0,026781856;NA;0,138738252;24;-14462,43892;28973,1573;238,9528242;3.49217306698821e-53
677375;-0,739628699;-0,004516136;+;0,163874139;0,090728181;0,049437662;-0,526237572;-0,002912729;0,000670981;0,229693467;NA;+;NA;+;NA;+;NA;NA;-0,026942552;NA;0,139588617;22;-14464,51414;28973,26385;239,0593721;3.31100001322249e-53
940031;-0,712822879;-0,004676335;+;0,162345087;0,093738589;0,049312588;-0,527167506;-0,002413176;0,000625141;0,224671433;+;+;NA;+;NA;+;NA;NA;-0,026253982;-0,002550662;0,139766826;25;-14461,5;28973,30283;239,0983494;3.24709780921245e-53
763327;-0,750041347;-0,004525653;+;0,183544021;0,086692493;0,045143176;-0,502010008;NA;0,000458778;0,237644438;NA;+;NA;NA;+;NA;-0,056134463;-0,001456438;-0,02481504;NA;0,139386321;21;-14465,6068;28973,42863;239,224151;3.04914367912802e-53
939519;-0,740371185;-0,004512316;+;0,16450119;0,094854965;0,04948211;-0,529107922;-0,002926721;0,000671977;0,229432965;NA;+;NA;+;NA;+;NA;NA;-0,026477453;-0,002297101;0,140342624;23;-14463,72847;28973,71398;239,5095057;2.64371058493123e-53
708415;-0,563739672;-0,004783607;+;0,175056371;0,084141618;0,043501967;-0,482636355;NA;NA;0,170679056;+;+;+;NA;NA;+;-0,010997157;NA;-0,033436722;NA;0,141992816;23;-14464,12606;28974,50917;240,3046909;1.77640356978101e-53
675647;-0,56568821;-0,004780672;+;0,173926452;0,084119574;0,043188815;-0,481613845;NA;NA;0,171556515;+;+;+;NA;NA;+;NA;NA;-0,033109451;NA;0,141991242;22;-14465,25266;28974,74089;240,5364071;1.58206785715744e-53
686079;-0,6969823;-0,004678437;+;0,161851741;0,08940565;0,049414079;-0,526304145;-0,010042338;0,00132216;0,224563257;+;+;NA;+;+;+;NA;NA;-0,026770369;NA;0,139858281;26;-14461,67834;28975,6838;241,4793229;9.87355477415118e-54
948223;-0,695903876;-0,004680612;+;0,162651989;0,093878733;0,049385998;-0,528359451;-0,00993736;0,001311459;0,22379143;+;+;NA;+;+;+;NA;NA;-0,026246254;-0,002563809;0,140327007;27;-14460,7262;28975,80477;241,6002903;9.29406677878973e-54
685567;-0,724344573;-0,004516638;+;0,164093404;0,090849015;0,049510865;-0,526735171;-0,010313083;0,00134605;0,229285042;NA;+;NA;+;+;+;NA;NA;-0,026931104;NA;0,139803077;24;-14463,76842;28975,8163;241,6118244;9.24062198485465e-54
741183;-0,560332299;-0,004780213;+;0,182967908;0,084162096;0,043187756;-0,481851393;NA;NA;0,168959778;+;+;+;NA;NA;+;NA;-0,005290297;-0,033197008;NA;0,142535378;23;-14464,98885;28976,23474;242,0302583;7.4961702729191e-54
947711;-0,726408261;-0,004510903;+;0,164758834;0,0950247;0,049568677;-0,529212644;-0,01016915;0,001333056;0,229487099;NA;+;NA;+;+;+;NA;NA;-0,0264649;-0,002319414;0,140375347;25;-14462,97521;28976,25324;242,0487607;7.42714122715946e-54
773951;-0,564868449;-0,004782711;+;0,175762176;0,084134827;0,043417181;-0,483520613;NA;NA;0,171003229;+;+;+;NA;NA;+;-0,010791764;-0,000430754;-0,033428313;NA;0,142321074;24;-14464,12498;28976,52942;242,3249464;6.46917226560552e-54
970047;-0,643540573;-0,004438192;+;0,178379481;0,070464826;0,044333504;-0,488969321;NA;NA;0,190349192;NA;+;+;NA;NA;+;-0,011336969;NA;-0,038804308;0,010167029;0,14116241;22;-14466,19639;28976,62836;242,4238774;6.15695723540269e-54
937279;-0,642830546;-0,004434804;+;0,177210371;0,070610279;0,044167827;-0,488400854;NA;NA;0,189888738;NA;+;+;NA;NA;+;NA;NA;-0,038410502;0,010048118;0,141546589;21;-14467,39447;28977,00398;242,7995028;5.10270090882558e-54
1035583;-0,645435583;-0,004443124;+;0,168391138;0,070024008;0,044440309;-0,489345072;NA;NA;0,191632784;NA;+;+;NA;NA;+;-0,014116152;0,005962382;-0,038930903;0,010431018;0,140883708;23;-14465,93383;28978,1247;243,9202245;2.91365737301016e-54
1019199;-0,668419382;-0,004448913;+;0,144966948;0,070128756;0,044806277;-0,495692596;NA;NA;0,202882366;NA;+;+;NA;NA;NA;-0,020358106;0,019081825;-0,038851399;0,010355599;0,140633279;21;-14468,01321;28978,24145;244,0369674;2.7484516423124e-54
954175;-0,678482585;-0,004671855;+;0,171132378;0,068856026;0,044962794;-0,509040124;NA;NA;0,218794372;+;+;+;NA;NA;NA;-0,012780868;NA;-0,038067082;0,009053122;0,14197463;22;-14467,2629;28978,76136;244,5568805;2.11928999120091e-54
1002815;-0,643724942;-0,004435064;+;0,178074847;0,070673483;0,044183678;-0,488772473;NA;NA;0,19017146;NA;+;+;NA;NA;+;NA;-0,000502958;-0,038395682;0,010010298;0,141643727;22;-14467,39191;28979,01939;244,8149106;1.86277272857365e-54
681983;-0,752930783;-0,004677846;+;0,16144938;0,088941326;0,04905584;-0,525843821;0,014446878;-0,000794986;0,226205316;+;+;NA;NA;+;+;NA;NA;-0,026708473;NA;0,139544266;24;-14465,54278;28979,36502;245,16054;1.56713855199841e-54
944127;-0,750960689;-0,004677566;+;0,162170297;0,093355513;0,04907548;-0,527874824;0,014486813;-0,000800968;0,225198668;+;+;NA;NA;+;+;NA;NA;-0,026173052;-0,002545345;0,139958818;25;-14464,59571;28979,49424;245,2897651;1.46908362285868e-54
681471;-0,777831971;-0,004511303;+;0,163689952;0,090413514;0,049125833;-0,526792172;0,014267609;-0,000781665;0,229500876;NA;+;NA;NA;+;+;NA;NA;-0,026868286;NA;0,139818964;22;-14467,70351;28979,64258;245,4381012;1.36406714449027e-54
921407;-0,676157465;-0,004665313;+;0,169768158;0,068893894;0,044739067;-0,507560723;NA;NA;0,21744501;+;+;+;NA;NA;NA;NA;NA;-0,037659049;0,009011807;0,142171909;21;-14468,7798;28979,77464;245,5701591;1.27690836997668e-54
943615;-0,780498349;-0,004507793;+;0,164323433;0,094539599;0,049116574;-0,529195222;0,014306094;-0,00078486;0,230303263;NA;+;NA;NA;+;+;NA;NA;-0,026406695;-0,002293699;0,140265853;23;-14466,92118;28980,0994;245,8949245;1.08552000621072e-54
681919;-0,717503161;-0,004679072;+;0,161575908;0,088786473;0,049283152;-0,525836585;NA;0,000449539;0,224271768;+;+;NA;NA;+;+;NA;NA;-0,026665674;NA;0,139668793;23;-14467,48892;28981,23489;247,0304092;6.15276686737531e-55
944063;-0,720242226;-0,004680539;+;0,162312236;0,093223795;0,049268887;-0,529761202;NA;0,00044959;0,22496912;+;+;NA;NA;+;+;NA;NA;-0,026144301;-0,002547311;0,140703914;24;-14466,54738;28981,37423;247,1697505;5.73869158730561e-55
681407;-0,747001363;-0,004514599;+;0,163804574;0,090268879;0,049391513;-0,526696458;NA;0,000449948;0,229525073;NA;+;NA;NA;+;+;NA;NA;-0,026828184;NA;0,139745954;21;-14469,59883;28981,4127;247,2082245;5.62935149323628e-55
943551;-0,748199125;-0,004510923;+;0,164431477;0,094390795;0,049412739;-0,529457577;NA;0,00044955;0,229526594;NA;+;NA;NA;+;+;NA;NA;-0,026368924;-0,002289588;0,140429709;22;-14468,82277;28981,8811;247,6766244;4.45396299485937e-55
986431;-0,679278321;-0,004437641;+;0,148925295;0,070797386;0,044587013;-0,497377828;NA;NA;0,207380576;NA;+;+;NA;NA;NA;NA;0,015118708;-0,038060864;0,009886104;0,141374947;20;-14471,54452;28983,28449;249,0800078;2.20803414180527e-55
953663;-0,710892747;-0,004418299;+;0,173582379;0,073412137;0,045137158;-0,506624722;NA;NA;0,220778874;NA;+;+;NA;NA;NA;-0,011851683;NA;-0,037864572;0,008370654;0,141708272;20;-14475,11369;28990,42281;256,2183326;6.22211802612705e-57
920895;-0,711973495;-0,004415656;+;0,172315212;0,073405499;0,044939692;-0,50593453;NA;NA;0,221286813;NA;+;+;NA;NA;NA;NA;NA;-0,037488042;0,008331405;0,141915307;19;-14476,42742;28991,03162;256,8271417;4.58920055942229e-57
675135;-0,634712188;-0,004409241;+;0,177735504;0,087814898;0,04368264;-0,487092409;NA;NA;0,184386708;NA;+;+;NA;NA;+;NA;NA;-0,033310193;NA;0,142765677;20;-14477,3452;28994,88584;260,6813609;6.68042294820456e-58
707903;-0,634864324;-0,00441226;+;0,17878895;0,087866627;0,043873875;-0,487489433;NA;NA;0,184478566;NA;+;+;NA;NA;+;-0,01017826;NA;-0,033609451;NA;0,142444098;21;-14476,37857;28994,97217;260,7676935;6.3981890455341e-58
740671;-0,633011673;-0,004406559;+;0,185473303;0,087820374;0,043699745;-0,486571937;NA;NA;0,183401788;NA;+;+;NA;NA;+;NA;-0,004485706;-0,033380868;NA;0,142768294;21;-14477,15259;28996,52022;262,3157419;2.95054772024734e-58
773439;-0,634242521;-0,004412255;+;0,178620414;0,087867412;0,043856882;-0,487523206;NA;NA;0,184327955;NA;+;+;NA;NA;+;-0,010221889;0,000105036;-0,033610381;NA;0,142450656;22;-14476,37851;28996,99258;262,7881006;2.32986766728176e-58
739199;-0,819682022;-0,004672863;+;0,121477932;0,086442084;0,04808331;-0,527016764;0,021132633;NA;0,226747275;+;+;NA;NA;NA;+;NA;0,023133127;-0,026154214;NA;0,139936063;22;-14485,44898;29015,13353;280,9290496;2.67962625875918e-62
690047;-0,84821014;-0,004587563;+;0,17705966;0,086007068;0,044401131;-0,505615541;0,021870743;NA;0,239041271;+;+;NA;NA;NA;NA;-0,055247041;NA;-0,024465935;NA;0,140372175;20;-14487,55055;29015,29655;281,0920707;2.46987306644524e-62
689535;-0,858095631;-0,004476188;+;0,180136902;0,085410927;0,044293219;-0,505171747;0,021851239;NA;0,238131789;NA;+;NA;NA;NA;NA;-0,056267212;NA;-0,024394957;NA;0,140277356;18;-14489,66386;29015,48678;281,282305;2.24577263444251e-62
739327;-0,802878228;-0,004677459;+;0,121255602;0,086427276;0,048169756;-0,528459071;0,01316409;0,000719621;0,226245407;+;+;NA;NA;NA;+;NA;0,023353743;-0,026147619;NA;0,140519775;23;-14484,82347;29015,90398;281,6995029;1.82294015023713e-62
690175;-0,827256839;-0,004591148;+;0,177193671;0,085999465;0,044467523;-0,504808461;0,013819038;0,000727263;0,23709835;+;+;NA;NA;NA;NA;-0,055235188;NA;-0,024468365;NA;0,140117625;21;-14486,92038;29016,05579;281,8513084;1.68969484765845e-62
689663;-0,840613906;-0,004479943;+;0,180243117;0,085391709;0,044437846;-0,505056603;0,013536954;0,000750909;0,237798273;NA;+;NA;NA;NA;NA;-0,056243784;NA;-0,024392357;NA;0,140276976;19;-14488,98602;29016,14883;281,9443506;1.61288876042079e-62
1001343;-0,819889114;-0,004675566;+;0,123547909;0,088994069;0,048060888;-0,530134504;0,02112382;NA;0,226465597;+;+;NA;NA;NA;+;NA;0,022146239;-0,025847856;-0,001461823;0,140899287;23;-14485,15534;29016,56772;282,3632418;1.30810724206664e-62
739263;-0,774629256;-0,00467597;+;0,120667474;0,086303268;0,048346983;-0,529694126;NA;0,001847085;0,226066615;+;+;NA;NA;NA;+;NA;0,023797628;-0,026119804;NA;0,141072564;22;-14486,42479;29017,08515;282,8806679;1.00991704117185e-62
755583;-0,850574807;-0,00459474;+;0,177714781;0,086009204;0,044436693;-0,505423504;0,021866852;NA;0,240303873;+;+;NA;NA;NA;NA;-0,05503518;-0,000432685;-0,024469113;NA;0,139931826;21;-14487,54671;29017,30846;283,1039828;9.03219853413508e-63
755071;-0,862286031;-0,004474729;+;0,182900908;0,085442417;0,044329223;-0,505594641;0,021849157;NA;0,23994516;NA;+;NA;NA;NA;NA;-0,055289603;-0,001908221;-0,024403584;NA;0,140189628;19;-14489,57368;29017,32414;283,119659;8.96168005515593e-63
1001471;-0,805777577;-0,004674111;+;0,123217903;0,0889213;0,048174214;-0,52998067;0,013189174;0,000717569;0,2271142;+;+;NA;NA;NA;+;NA;0,022418773;-0,025852451;-0,00142249;0,140854392;24;-14484,53603;29017,35153;283,1470497;8.83978322901183e-63
689599;-0,811675895;-0,004481818;+;0,180327805;0,085252902;0,044692236;-0,505671802;NA;0,001910341;0,23785137;NA;+;NA;NA;NA;NA;-0,056135229;NA;-0,024357632;NA;0,140458862;18;-14490,6888;29017,53667;283,3321964;8.05819051796843e-63
690111;-0,800815987;-0,004587457;+;0,177385173;0,085848504;0,04489338;-0,504528205;NA;0,00191126;0,238353535;+;+;NA;NA;NA;NA;-0,055125749;NA;-0,024429029;NA;0,139858564;20;-14488,70261;29017,60066;283,3961767;7.80448741132233e-63
755199;-0,844651862;-0,004478084;+;0,182857779;0,085422403;0,044493306;-0,505712834;0,01356491;0,000748083;0,239527452;NA;+;NA;NA;NA;NA;-0,055318065;-0,001804933;-0,024399796;NA;0,140299444;20;-14488,90713;29018,00969;283,8052139;6.36096619759138e-63
755711;-0,831341545;-0,004588883;+;0,177672304;0,085997516;0,044512941;-0,505121271;0,013830841;0,000725963;0,238724132;+;+;NA;NA;NA;NA;-0,055095486;-0,000304276;-0,024469166;NA;0,14006193;22;-14486,91825;29018,07208;283,8675987;6.16561487983342e-63
1001407;-0,775887605;-0,00467321;+;0,122770385;0,088757818;0,048397593;-0,530003305;NA;0,001847144;0,226407303;+;+;NA;NA;NA;+;NA;0,022771665;-0,025817333;-0,001409237;0,140916831;23;-14486,148;29018,55304;284,3485577;4.84771948247478e-63
738687;-0,856541577;-0,004476142;+;0,123896455;0,088701664;0,048174438;-0,529684065;0,02152766;NA;0,232620765;NA;+;NA;NA;NA;+;NA;0,023009372;-0,02635664;NA;0,140706933;20;-14489,28271;29018,76086;284,5563774;4.36928125425779e-63
738815;-0,839117875;-0,004480507;+;0,123609831;0,088684619;0,04835672;-0,529935001;0,01300375;0,000769814;0,232446645;NA;+;NA;NA;NA;+;NA;0,023256982;-0,026353007;NA;0,14081971;21;-14488,56727;29019,34958;285,1450988;3.25514831545839e-63
755135;-0,814326295;-0,004479905;+;0,182627598;0,085278867;0,044716702;-0,506557016;NA;0,001909971;0,238891729;NA;+;NA;NA;NA;NA;-0,055315904;-0,001599619;-0,024365817;NA;0,140629542;19;-14490,62569;29019,42817;285,2236957;3.12970695968102e-63
755647;-0,798289119;-0,004590522;+;0,177578809;0,08585534;0,044770779;-0,505012927;NA;0,001910869;0,237237725;+;+;NA;NA;NA;NA;-0,055083667;-0,0001548;-0,024436584;NA;0,140160378;21;-14488,70213;29019,61928;285,4148058;2.84449150940626e-63
738751;-0,809969187;-0,004482709;+;0,123189051;0,088555314;0,048580845;-0,529299369;NA;0,00188364;0,232137948;NA;+;NA;NA;NA;+;NA;0,023573365;-0,026319791;NA;0,140620664;20;-14490,13195;29020,45934;286,2548584;1.86891492613405e-63
1000831;-0,858275448;-0,004474574;+;0,125379547;0,090536208;0,04822098;-0,530575186;0,021540076;NA;0,233079704;NA;+;NA;NA;NA;+;NA;0,022291532;-0,026145043;-0,001021119;0,140831131;21;-14489,13419;29020,48342;286,2789436;1.84654331343498e-63
1000959;-0,839463582;-0,004478536;+;0,125057874;0,090479486;0,048409946;-0,530699825;0,012981977;0,000772453;0,232293687;NA;+;NA;NA;NA;+;NA;0,022540478;-0,026145577;-0,001001347;0,140932962;22;-14488,42291;29021,0814;286,8769182;1.36933899483274e-63
1000895;-0,811163844;-0,004480538;+;0,124545645;0,090316349;0,048593034;-0,530980489;NA;0,001884442;0,232316162;NA;+;NA;NA;NA;+;NA;0,0229148;-0,026116785;-0,000980812;0,141065525;21;-14489,99568;29022,20639;288,0019132;7.80227769242778e-64
673663;-0,819604536;-0,00466829;+;0,15995977;0,086445659;0,048473559;-0,528899314;0,021169206;NA;0,225450822;+;+;NA;NA;NA;+;NA;NA;-0,025987067;NA;0,140474479;21;-14491,08458;29024,3842;290,1797185;2.62613471650922e-64
935807;-0,823244934;-0,004662069;+;0,160727647;0,090889377;0,048426667;-0,532671569;0,021166201;NA;0,226520993;+;+;NA;NA;NA;+;NA;NA;-0,025454313;-0,002553822;0,141353545;22;-14490,12757;29024,49072;290,2862391;2.48992543014423e-64
673791;-0,806115269;-0,004670535;+;0,160171851;0,086436204;0,048341285;-0,530570508;0,013807178;0,00066449;0,225993537;+;+;NA;NA;NA;+;NA;NA;-0,025978716;NA;0,140903768;22;-14490,56386;29025,36329;291,1588105;1.60956999565586e-64
935935;-0,803260228;-0,004663066;+;0,160852698;0,0909157;0,048559742;-0,532691581;0,013916018;0,000655535;0,223793024;+;+;NA;NA;NA;+;NA;NA;-0,025451766;-0,002562344;0,141675773;23;-14489,60914;29025,47533;291,2708518;1.52187997786036e-64
673727;-0,775678632;-0,004662259;+;0,160276756;0,086286738;0,048760342;-0,529739301;NA;0,001847924;0,225267942;+;+;NA;NA;NA;+;NA;NA;-0,025937209;NA;0,140840447;21;-14492,35288;29026,9208;292,7163203;7.38755820533069e-65
935871;-0,774309354;-0,004662917;+;0,161001702;0,090710235;0,048787518;-0,533131141;NA;0,001847824;0,224249587;+;+;NA;NA;NA;+;NA;NA;-0,025416537;-0,002531532;0,141873042;22;-14491,40379;29027,04314;292,8386621;6.94919870361752e-65
