"species";"obs_id";"obs_letter";"order_round_1";"order_round_2";"order_round_3"
"OPHLUT";"obs_rjmb";"C";"3-4-5-6-7-8-9-10-1-2";"5-7-3-2-9-4-6-10-8-1";"4-6-7-5-3-10-8-9-1-2"
"OPHLUT";"obs_awgv";"E";"5-6-7-8-9-10-1-2-3-4";"2-1-6-4-7-9-8-5-3-10";"7-5-3-10-8-1-2-4-6-9"
"OPHLUT";"obs_werf";"G";"7-8-9-10-1-2-3-4-5-6";"7-4-6-9-8-10-5-3-1-2";"3-10-1-8-9-2-4-6-7-5"
"OPHLUT";"obs_ajeg";"I";"9-10-1-2-3-4-5-6-7-8";"6-9-8-10-5-3-1-2-7-4";"1-8-2-9-4-6-7-5-3-10"
"CARFLA";"obs_lktg";"A";"1-2-3-4-5-6-7-8-9-10";"8-10-5-3-1-7-2-4-6-9";"2-6-4-5-7-9-3-1-8-10"
"CARFLA";"obs_eonq";"B";"2-3-4-5-6-7-8-9-10-1";"10-5-1-3-2-4-7-6-9-8";"9-4-7-6-5-3-10-1-8-2"
"CARFLA";"obs_pgxa";"C";"3-4-5-6-7-8-9-10-1-2";"5-3-1-2-7-4-6-9-8-10";"4-7-5-3-6-10-1-8-9-2"
"CARFLA";"obs_qsyn";"E";"5-6-7-8-9-10-1-2-3-4";"1-2-7-4-9-6-8-10-5-3";"7-5-3-6-10-1-8-4-2-9"
"CARFLA";"obs_dkzp";"G";"7-8-9-10-1-2-3-4-5-6";"7-4-6-9-8-10-5-3-1-2";"3-10-1-8-2-4-7-5-9-6"
"CARFLA";"obs_fdhm";"I";"9-10-1-2-3-4-5-6-7-8";"6-9-8-10-5-3-1-2-7-4";"1-8-2-9-4-6-7-5-3-10"
"ANAPYR";"obs_rfen";"A";"1-2-3-4-5-6-7-8-9-10";"8-10-5-1-3-2-7-4-6-9";"2-9-4-6-5-7-3-10-1-8"
"ANAPYR";"obs_aslf";"C";"3-4-5-6-7-8-9-1-10-2";"5-3-6-2-7-4-1-9-8-10";"4-6-7-5-3-10-1-8-9-2"
"ANAPYR";"obs_xoto";"E";"5-6-7-8-9-10-1-2-3-4";"1-2-7-4-6-9-8-10-5-3";"7-5-3-10-1-8-2-4-9-6"
"ANAPYR";"obs_yhzj";"G";"7-8-9-10-1-2-3-4-5-6";"7-4-6-8-9-10-5-3-1-2";"3-10-1-8-2-9-4-7-6-5"
"ANAPYR";"obs_jdpu";"I";"9-10-1-2-3-4-5-6-7-8";"6-9-8-10-5-3-1-2-7-4";"1-8-2-9-4-7-6-5-3-10"
"RUMACE";"obs_dzxs";"A";"1-2-3-4-5-6-7-8-9-10";"10-8-5-3-1-2-7-4-6-9";"2-9-6-4-7-5-3-10-1-8"
"RUMACE";"obs_wmyv";"C";"3-4-5-6-7-8-9-10-1-2";"5-3-1-2-7-4-6-8-10-9";"4-6-7-5-3-10-1-8-2-9"
"RUMACE";"obs_qjqk";"E";"5-6-7-8-9-10-1-2-3-4";"1-2-7-4-6-9-8-10-5-3";"7-5-3-10-1-8-4-6-2-9"
"RUMACE";"obs_nfuc";"G";"7-8-9-10-1-2-3-4-5-6";"7-4-6-9-8-10-5-3-1-2";"3-10-1-8-2-4-9-6-7-5"
"RUMACE";"obs_enjt";"I";"9-10-1-2-3-4-5-6-7-8";"6-9-8-10-5-3-1-2-7-4";"1-8-9-4-5-2-6-7-3-10"
"EQUTEL";"obs_xoto";"A";"1-2-3-4-5-6-7-8-9-10";"1-8-10-5-3-2-7-4-6-9";"2-6-9-5-4-3-8-7-10-1"
"EQUTEL";"obs_zlxw";"B";"2-3-4-5-6-7-8-9-10-1";"10-5-3-1-2-7-4-6-9-8";"9-4-6-7-5-3-10-1-8-2"
"EQUTEL";"obs_nzcz";"C";"3-4-5-6-7-8-9-10-1-2";"5-3-1-2-7-4-6-9-8-10";"4-7-6-3-10-1-5-2-8-9"
"EQUTEL";"obs_fbti";"E";"5-6-7-8-9-10-1-2-3-4";"1-2-7-4-6-9-8-10-5-3";"7-5-3-10-1-8-2-9-4-6"
"EQUTEL";"obs_size";"G";"7-8-9-10-1-2-3-4-5-6";"7-4-6-9-8-10-3-5-1-2";"3-10-1-8-2-9-4-6-7-5"
"EQUTEL";"obs_phev";"H";"8-9-10-1-2-3-4-5-6-7";"4-6-9-8-10-5-3-1-2-7";"10-1-8-2-6-4-9-7-5-3"
"EQUTEL";"obs_ruyi";"I";"9-10-1-2-3-4-5-6-7-8";"6-9-8-10-5-3-1-2-7-4";NA
"LINVUL";"obs_njds";"A";"1-2-3-4-5-6-7-8-9-10";"1-2-8-10-5-3-7-4-6-9";"2-8-3-10-1-4-5-6-7-9"
